timestamp,cpu_percent,memory_usage_mb,memory_percent,net_io,block_io
1753862461,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862464,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862466,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862469,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862472,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862475,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862478,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862481,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862484,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862486,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862489,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862492,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862495,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862498,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862501,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862504,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862506,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862509,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862512,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862515,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862518,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862521,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862524,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862526,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862529,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862532,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862535,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862538,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862541,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862544,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862546,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862549,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862552,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862555,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862558,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862561,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862564,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862566,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862569,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862572,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862575,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862578,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862581,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862584,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862586,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862589,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862592,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862595,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862598,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862601,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862604,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862606,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862609,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862612,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862615,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862618,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862621,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862624,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862626,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862629,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862632,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862635,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862638,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862641,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862644,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862646,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862649,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862652,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862655,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862658,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862661,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862664,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862666,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862669,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862672,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862675,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862678,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862681,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862684,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862686,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862689,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862692,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862695,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862698,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862701,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862704,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862706,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862709,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862712,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862715,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862718,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862721,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862724,0,61.01,0.39,363MB / 7.65MB,0B / 0B
1753862726,0,61.01,0.39,363MB / 7.65MB,0B / 0B
